position,candidate,party,district
SANGGUNIANG PANLUNGSOD,"CALITIZEN, DANILO",PM,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"GONZALES, GYWYN",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"RAMOS, RUBEN",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"VALLE, VJ",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CASIMIRO, EMMANUEL LUIS",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"GRAN, SIMNAR",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"RIGUERA, BONIFACIO",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"VENTURA, LILY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
HOUSE OF REPRESENTATIVES,"ANTONIO, MINNIE",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
HOUSE OF REPRESENTATIVES,"BASE, ANGELO",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
HOUSE OF REPRESENTATIVES,"LAGDAMEO, MONIQUE",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
MAYOR,"BINAY, NANCY",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
MAYOR,"CAMPOS, ABBYLUIS",NPC,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
MAYOR,"NERI, VICTOR",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
MAYOR,"SOLIDUM, ORLANDO STEPHEN",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
VICE-MAYOR,"DEL ROSARIO, MONSOUR",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
VICE-MAYOR,"PEÑA, KID",NPC,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ALVAREZ, DUKA",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CUARESMA, DAN JASON",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"IMPERIAL, ATTY. DINO",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PADILLA, ARMANDO",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ARENAS, MARTIN",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DIZON, MANNY",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"LINGAD, JCL",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SAGUISAG, REBO",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CALINAWAN, VICBISAYA",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"EUSEBIO, FERDIE TANGGOL",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MEDINA, ROMEO",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TRINIDAD, JESSY",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CASAL-UY, MAYETH",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"GARCIA, TITO KANIN",IND,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ORTEGA, ARLENE",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"VILLENA, JOEY",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"COSING, LENNIE JOLLY BEE",UNA,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"HILARIO, VIRJHONG",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ORTEGA, CARMINA",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
SANGGUNIANG PANLUNGSOD,"YABUT, ALCINE",MKTZNU,BFT_NCR\CITY_OF_MAKATI_1ST_DIST
HOUSE OF REPRESENTATIVES,"ALMARIO, ALDEN",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
HOUSE OF REPRESENTATIVES,"SESE, VINCENT",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ANGELES, HEIN",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BANIQUED, BODIK",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"RAMBOYONG, LEVY",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TOLENTINO, RUTH",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ARAYON, DOC DORIS",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CALIMBAHIN, MAFFYSOLER",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SALUDO, REYNANTE",IND,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"VITALES, BEL",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ARIONES, BONG",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"HECHANOVA, MARIO",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SAROSA, INA",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"YABUT, KING",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BALUYUT, JEFF",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MARQUEZ, ED",MKTZNU,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SESE, BERNADETTE",UNA,BFT_NCR\CITY_OF_MAKATI_2ND_DIST
HOUSE OF REPRESENTATIVES,"DELA CRUZ, NINONG",PDPLBN,BFT_NCR\CITY_OF_MALABON_1ST_DIST
HOUSE OF REPRESENTATIVES,"NOEL, BEM LACSON",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
HOUSE OF REPRESENTATIVES,"ORETA, LENLEN",NUP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
HOUSE OF REPRESENTATIVES,"SANDOVAL, RICKY",LAKAS,BFT_NCR\CITY_OF_MALABON_1ST_DIST
MAYOR,"LACSON-NOEL, JAYE",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
MAYOR,"SANDOVAL, JEANNIE",NP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
VICE-MAYOR,"CUNANAN, DADO",PDPLBN,BFT_NCR\CITY_OF_MALABON_1ST_DIST
VICE-MAYOR,"DELA CRUZ, ANGELIKA",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
VICE-MAYOR,"GARCIA, JAP",NUP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
VICE-MAYOR,"NOLASCO, EDWARD",LAKAS,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BERNARDO, GERRY",PFP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DIMAGIBA, EDWIN LACSON",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ONA, PAYAPA",NP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SAN JUAN, CONCON",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BORJA, IAN EMMANUEL",NP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"HIO, TOK",IND,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ORETA, PAULO",PMP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TORRES, MARICAR",NP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CASTILLO, AL CASTE",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"NOEL, NINO LACSON",NPC,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SABARICOS, JOEY",LP,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"YAMBAO, LESLIE",UNA,BFT_NCR\CITY_OF_MALABON_1ST_DIST
SANGGUNIANG PANLUNGSOD,"AÑORA, ARCHIE JADE",IND,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DIZON, STAR",NP,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MACASERO, MOY2PALABOY",PDPLBN,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ORETA, ENZO",NUP,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CABRERA, PAUL JR.",IND,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DUSARAN, BIG MAMA ERIKA",NPC,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MAÑALAC, ALVIN DABOY",NPC,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ROQUE, MARK",NPC,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CRUZ, JASPER",LAKAS,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"GALAURAN, AL NIÑO",PFP,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MAÑALAC, MONAY",PFP,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"VICENCIO, NADJA MARIE",PMP,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CUNANAN, ROM",PDPLBN,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"LIM, SONIA",NPC,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MANZON, ADING",NPC,BFT_NCR\CITY_OF_MALABON_2ND_DIST
SANGGUNIANG PANLUNGSOD,"YANGA, LEN",PFP,BFT_NCR\CITY_OF_MALABON_2ND_DIST
HOUSE OF REPRESENTATIVES,"GONZALES, QUEENIE",NUP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
MAYOR,"ABALOS, MENCHIE",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
VICE-MAYOR,"SUVA, ANTHONY",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ABALOS, CHARISSE",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CRISTOBAL, ROLANDO",IND,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MANALO, MARIZ",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"YAP, ELTON",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ALIM, JUNIS",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DE GUZMAN, DANNY",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SOLOMON, FLORENCIO",IND,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ANTONIO, GRACE",PFP,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DEL ROSARIO, DELMER",IND,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TAN, CHRIS",IND,BFT_NCR\CITY_OF_MANDALUYONG_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ABALOS, BENJIE",PFP,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BACAR, BOYETT",AKSYON,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DE QUINTO, BOY",PDPLBN,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ANTIOJO, REGIE",PFP,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CRUZ, LESLIE",PFP,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"OCAMPO, DONG",PDPLBN,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"APACIONADO, DARIUS RAZON",IND,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CUEJILO, BOTONG GONZALES",PFP,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
SANGGUNIANG PANLUNGSOD,"STA. MARIA, DOC ALEX",PFP,BFT_NCR\CITY_OF_MANDALUYONG_2ND_DIST
HOUSE OF REPRESENTATIVES,"DIONISIO, ERNIX",LAKAS,BFT_NCR\CITY_OF_MANILA_1ST_DIST
HOUSE OF REPRESENTATIVES,"LOPEZ, MANNY",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
HOUSE OF REPRESENTATIVES,"LUMBAD, JOSEPH",FRPAMM,BFT_NCR\CITY_OF_MANILA_1ST_DIST
HOUSE OF REPRESENTATIVES,"SANTOS, EDSA IV",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"BAGATSING, RAYMOND",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"KARINGAL, ALVIN",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"REYES, ENRICO",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"TAN, ERVIN",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"DOMAGOSO, ISKO MORENO",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"LACUNA, HONEY",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"SAY, MICHAEL DAD NG BAYAN",ID,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"VERZOSA, SAM SV",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"GARCIA, JERRY",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"OCAMPO, JOPOY",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
MAYOR,"TAMONDONG, MAHRA",KBL,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"ATIENZA, CHI",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"NIETO, YUL SERVO",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"OYALES, REMY",KBL,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"SAY, SOLOMON",ID,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"MAGNO, NIÑO ANTHONY",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"OCAMPO, PABLO CHIKEE",PFP,BFT_NCR\CITY_OF_MANILA_1ST_DIST
VICE-MAYOR,"REYES, ARVIN",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ALBAN, IAN",FRPAMM,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"FLORA, ART",PM,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MANANSALA, SYLVIA FELISA",KBL,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PORNILOS, MICHAEL JOHN",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ALFONSO, IRMA",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"GADO, EDUARDO",MKBYN,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"NIEVA, BANZAI",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SANDOVAL, FERDIE",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DE LEON, MIKE NASH",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"HALILI, IAN",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"NUGUID, PAOLO CRISANTO",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SANTIAGO, EUGENE",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DELA CRUZ, NIÑO",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"HERNANE, BOBBY",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ONG, PETER",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SOLIS, EDUARDO",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DIONISIO, ALEX",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"IBAY, COL JHUN",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PAMULAKLAKIN, ROSMAR",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TABIOS, SIR MONTE",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DOMAGOSO, JOAQUIN",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ISIDRO, MARJUN",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PEDROZO, PAPA P",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"FAJARDO, TAGA JESUS",AKSYON,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"LIMYUEN, MC BOBBY LIM",ASENSO,BFT_NCR\CITY_OF_MANILA_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PINEDA, JAY CHING",IND,BFT_NCR\CITY_OF_MANILA_1ST_DIST
HOUSE OF REPRESENTATIVES,"LOPEZ, CARLO",NP,BFT_NCR\CITY_OF_MANILA_2ND_DIST
HOUSE OF REPRESENTATIVES,"VALERIANO, ROLAN CRV",NUP,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BAUTISTA-ONG, ROBBIE",AKSYON,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"EVANGELISTA, NICO",AKSYON,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"LIM, UNO",ASENSO,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SIA, AWI",AKSYON,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BUENAVENTURA, DR. J",ASENSO,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"LACSAMANA, NINONG ROD",ASENSO,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MIRANDA, ROMMEL",AKSYON,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SY, BOLONG",AKSYON,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CHUA, DIREK DAVID",ASENSO,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"LACSON, MARC",ASENSO,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ROBLES, ROMA",ASENSO,BFT_NCR\CITY_OF_MANILA_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TAN, EDWARD",AKSYON,BFT_NCR\CITY_OF_MANILA_2ND_DIST
HOUSE OF REPRESENTATIVES,"CHUA, JOEL",LAKAS,BFT_NCR\CITY_OF_MANILA_3RD_DIST
HOUSE OF REPRESENTATIVES,"MORALES, RAMON",PDPLBN,BFT_NCR\CITY_OF_MANILA_3RD_DIST
HOUSE OF REPRESENTATIVES,"NIETO, APPLE",AKSYON,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ALIBARBAR, KAREN CHUA",ASENSO,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"DAVID, NOMER",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ISIP, JONG",ASENSO,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"TY, NELSON",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ALVAREZ, BONG",AKSYON,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"DE PEREIRA, ELEAZAR",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"JAMISOLA, JOEY UY",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"USON, MOCHA",AKSYON,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ATIENZA, MAILE",ASENSO,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"DELA CRUZ, ROLLIN J",AKSYON,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"JURILLA, RODELITO",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ZARCAL, TOL",AKSYON,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"CIGRES, HENRICK SHANNON",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"FUGOSO, PAMELA FA",ASENSO,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"LAU, KAP JEFF",ASENSO,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"CUA LEE, ANTONIO",PDPLBN,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"GO, ALBERT ALVIN ANG",IND,BFT_NCR\CITY_OF_MANILA_3RD_DIST
SANGGUNIANG PANLUNGSOD,"TAGLE, CHRIS",AKSYON,BFT_NCR\CITY_OF_MANILA_3RD_DIST
HOUSE OF REPRESENTATIVES,"BONOAN-DAVID, TRISHA",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
HOUSE OF REPRESENTATIVES,"CHUA, DOC LOUIE",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
HOUSE OF REPRESENTATIVES,"MACEDA, DRA. GISELLE",ASENSO,BFT_NCR\CITY_OF_MANILA_4TH_DIST
HOUSE OF REPRESENTATIVES,"VILLANUEVA, JTV",AKSYON,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"ACIO, ROM",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"CAYETANO, EDWIN",KBL,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"LOPEZ, ANDREW",PFP,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"RAMOS, WENDELL",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"ALMIRON, KUYA DOK",AKSYON,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"CORTEZ, REYMON",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"MARIÑO, RICARDO",PM,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"REYES, SCIENCE",ASENSO,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"BACANI, ROY",ASENSO,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"DELA CRUZ, CARLO",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"MARZAN, BONG",ASENSO,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"ROTAP, JERRICK",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"BAGATSING, DJ",AKSYON,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"FERRER, CLARK",IND,BFT_NCR\CITY_OF_MANILA_4TH_DIST
SANGGUNIANG PANLUNGSOD,"NIETO, DOKTORA DIANNE",ASENSO,BFT_NCR\CITY_OF_MANILA_4TH_DIST
